# name,planet_status,mass,radius,orbital_period,discovered,updated,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
GJ 9827 c,Confirmed,0.00604,0.107,3.648086,2017,2020-09-09,10.4,,,,,30.3,-0.28,0.659,0.651,K6V,,4255,,
GJ 9827 d,Confirmed,0.01076,0.17441,6.20183,2017,2020-09-09,10.4,,,,,30.3,-0.28,0.659,0.651,K6V,,4255,,
GK Vir b,Candidate,,,8890,2020,2020-08-06,17,,,,,475,,0.68,,DAe,,,,
GLASS-JWST-BD1,Confirmed,31,,,2023,2023-01-15,,,,,,645,,,,,,,,
GP Com b,Confirmed,26.2,,0.032,2016,2019-05-17,16.22,,,,,,,0.33,,DBe D,,,,
GPX-1 b,Confirmed,19.7,1.47,1.744579,2020,2020-09-28,11.3,,,,,,0.35,1.68,1.56,,0.27,7000,,
GQ Lup b,Confirmed,0.013,1.8,,2005,2022-07-07,11.4,,,,,140,,0.7,,K7eV,0.001,,Imaging,
GQ Lup c,Candidate,1.384,,,2020,2020-05-21,11.4,,,,,140,,0.7,,K7eV,0.001,,Imaging,
GSC 08047-00232 b,Confirmed,25,,,2003,2018-11-27,,,9.06,8.54,8.45,86.2977,,0.8,,K2V,0.03,,,
GSC 6214-210 b,Confirmed,17,,,2010,2014-01-31,,,,,9.15,145,,0.6,,M1,0.011,,,
GU Boo b,Candidate,,,4040,2018,2018-10-05,7,,,,,163,,1.19,,M0/M1.5,,,,
GU Psc b,Confirmed,11,1.35,,2014,2015-03-31,13.55,,,,,48,,0.35,,M3,0.1,,,
GW Ori ABC b,Candidate,2,,,2021,2021-09-27,10,,,,,402.4,,5.6,,G5,,,,
Gaia DR3 2098419251579450880 b,Candidate,34,,,2022,2022-08-04,15,,,,,64.17,,,,WD,,,,
Gaia EDR3 2077240046296834304 b,Confirmed,,0.81,4.99671123,2021,2021-12-15,,,,,,1000,0.32,0.749,0.72,,,4410,,
Gaia-1 b,Confirmed,1.68,1.229,3.042524,2021,2022-07-06,13.2,,,,,368.3,,0.93,0.962,,,5370,,
Gaia-2 b,Confirmed,0.773,1.327,3.6915237,2021,2022-07-06,11.3,,,,,207.2,,1,1.064,,,5720,,
Gaia-ASOI-004 b,Candidate,550.6747088,,331.7430864,2022,2022-07-26,5.381280727,,,,,17.3537,-0.2154,1.089345,,,,6006.4995,,
Gaia-ASOI-005 b,Candidate,408.5847805,,1009.308458,2022,2022-07-26,10.00076475,,,,,61.3168,0.1068,0.82365245,,,,5073.2275,,
Gaia-ASOI-006 b,Candidate,514.9145076,,449.9997576,2022,2022-07-26,7.466688888,,,,,32.6103,-0.4834,0.9602813,,,,5300.497,,
Gaia-ASOI-007 b,Candidate,14.2,,476.364447,2022,2022-07-26,9.538147945,,,,,44.2147,-0.202,,,,,4273.4585,,
Gaia-ASOI-008 b,Candidate,442.7512892,,33.65128713,2022,2022-07-26,13.80244542,,,,,,,0.65,,,,,,
Gaia-ASOI-009 b,Candidate,585.9688791,,1089.152638,2022,2022-07-26,8.315422226,,,,,73.5439,-0.0938,1.1280434,,,,6103.269,,
Gaia-ASOI-011 b,Candidate,264.6494836,,522.5754292,2022,2022-07-26,13.07249417,,,,,,,0.54945767,,,,,,
